Age_Group,Gender,Work_Experience,Working_Hours_Per_Day,Meetings_Per_Week,Late_Night_Work_Frequency,AI_Job_Displacement_Fear,Supervisor_Support,Salary_Satisfaction,Work_Life_Balance,Stress_Level,Sleep_Quality,Job_Satisfaction,Burnout_Symptoms,Depression_Risk,Employee_ID,Employee_Name,Department,Date,Month
26-35,Male,2,4,2,5,4,1,3,2,5,2,1,4,2,EMP0001,Employee_1,Marketing,2025-01-01,Jan
18-25,Male,2,4,4,2,2,2,5,3,4,3,3,4,2,EMP0002,Employee_2,Support,2025-01-02,Jan
18-25,Male,4,2,1,5,5,4,3,4,3,2,4,3,1,EMP0003,Employee_3,Support,2025-01-03,Jan
26-35,Female,1,3,4,2,1,5,4,4,3,3,5,2,1,EMP0004,Employee_4,IT,2025-01-04,Jan
26-35,Female,2,2,1,5,5,3,5,4,3,2,4,3,1,EMP0005,Employee_5,Marketing,2025-01-05,Jan
26-35,Female,2,4,1,1,1,3,3,3,2,4,3,3,1,EMP0006,Employee_6,Finance,2025-01-06,Jan
46+,Female,5,3,5,1,5,3,1,2,3,5,2,3,1,EMP0007,Employee_7,HR,2025-01-07,Jan
26-35,Male,5,2,3,5,5,1,3,3,3,1,2,3,1,EMP0008,Employee_8,Marketing,2025-01-08,Jan
26-35,Male,2,5,4,5,3,2,4,2,4,1,2,5,2,EMP0009,Employee_9,Operations,2025-01-09,Jan
26-35,Male,4,3,2,5,4,4,4,4,3,2,4,4,1,EMP0010,Employee_10,IT,2025-01-10,Jan
18-25,Male,3,4,5,3,1,4,3,3,3,4,3,3,1,EMP0011,Employee_11,Finance,2025-01-11,Jan
26-35,Male,5,3,5,5,4,4,3,3,3,1,3,3,1,EMP0012,Employee_12,HR,2025-01-12,Jan
26-35,Female,1,1,5,1,2,1,1,2,3,5,1,2,1,EMP0013,Employee_13,Marketing,2025-01-13,Jan
18-25,Female,5,2,1,1,2,1,3,3,1,5,3,2,0,EMP0014,Employee_14,Finance,2025-01-14,Jan
26-35,Female,4,4,3,5,4,5,4,4,5,2,4,5,2,EMP0015,Employee_15,Finance,2025-01-15,Jan
26-35,Male,2,3,2,3,5,1,2,2,3,3,1,3,1,EMP0016,Employee_16,Support,2025-01-16,Jan
18-25,Female,2,3,3,4,5,4,4,4,3,2,4,4,2,EMP0017,Employee_17,Finance,2025-01-17,Jan
18-25,Male,5,3,3,5,2,2,3,3,2,2,3,3,2,EMP0018,Employee_18,Support,2025-01-18,Jan
26-35,Female,1,2,3,5,2,2,1,2,4,2,1,4,2,EMP0019,Employee_19,Sales,2025-01-19,Jan
26-35,Female,2,3,2,3,5,1,2,2,4,3,1,3,1,EMP0020,Employee_20,IT,2025-01-20,Jan
26-35,Female,4,1,2,5,1,4,4,4,1,4,5,3,1,EMP0021,Employee_21,Support,2025-01-21,Jan
36-45,Male,3,4,2,1,2,2,5,3,3,4,3,3,1,EMP0022,Employee_22,Sales,2025-01-22,Jan
26-35,Male,3,3,1,1,2,1,4,3,2,5,3,2,1,EMP0023,Employee_23,Finance,2025-01-23,Jan
26-35,Male,1,1,4,5,5,2,3,3,4,3,2,5,3,EMP0024,Employee_24,IT,2025-01-24,Jan
26-35,Female,1,5,4,1,4,5,3,3,3,3,4,3,1,EMP0025,Employee_25,IT,2025-01-25,Jan
18-25,Female,1,5,1,3,4,2,4,2,4,4,2,4,1,EMP0026,Employee_26,IT,2025-01-26,Jan
26-35,Male,4,4,5,4,2,4,3,3,5,1,3,5,3,EMP0027,Employee_27,Sales,2025-01-27,Jan
18-25,Male,3,3,5,5,3,1,1,2,4,2,1,4,3,EMP0028,Employee_28,Sales,2025-01-28,Jan
18-25,Male,5,2,3,5,5,5,4,4,3,3,5,4,1,EMP0029,Employee_29,Operations,2025-01-29,Jan
26-35,Female,3,2,2,4,4,4,1,3,4,3,2,3,2,EMP0030,Employee_30,Finance,2025-01-30,Jan
18-25,Female,3,3,3,5,2,2,1,2,4,1,1,5,2,EMP0031,Employee_31,Finance,2025-01-31,Jan
26-35,Male,1,2,1,3,4,5,5,5,2,4,5,1,1,EMP0032,Employee_32,Operations,2025-02-01,Feb
26-35,Female,3,4,5,5,2,1,2,2,3,3,1,4,1,EMP0033,Employee_33,IT,2025-02-02,Feb
26-35,Male,1,2,4,3,1,5,1,3,2,3,3,2,1,EMP0034,Employee_34,Support,2025-02-03,Feb
26-35,Male,5,1,3,3,2,3,4,4,1,3,4,2,1,EMP0035,Employee_35,Support,2025-02-04,Feb
18-25,Female,1,5,2,4,4,4,3,3,3,3,3,4,2,EMP0036,Employee_36,HR,2025-02-05,Feb
26-35,Male,5,4,2,4,2,1,5,3,4,3,3,3,2,EMP0037,Employee_37,IT,2025-02-06,Feb
36-45,Male,4,3,4,2,2,4,3,3,3,4,3,3,1,EMP0038,Employee_38,Sales,2025-02-07,Feb
36-45,Female,2,2,3,2,3,2,4,3,2,3,3,2,2,EMP0039,Employee_39,HR,2025-02-08,Feb
